,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,net_used_yes,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
49,KE201500000050,KE,2015.0,50.0,U,-4.292095,39.546761,9999.0,30.0,WGS84,POINT (39.546761 -4.292095),50,4,3,4,0,4,3,50,29,21,35,2,69,50,69,69,49,coast,49,20
50,KE201500000051,KE,2015.0,51.0,R,-3.871582,39.714702,9999.0,41.0,WGS84,POINT (39.714702 -3.871582),51,19,6,0,19,19,17,51,29,22,42,4,123,51,123,0,75,coast,75,48
51,KE201500000052,KE,2015.0,52.0,R,-3.611262,39.486816,9999.0,220.0,WGS84,POINT (39.486816 -3.611262),52,25,12,0,25,24,15,52,26,15,25,6,161,52,161,0,50,coast,50,102
52,KE201500000053,KE,2015.0,53.0,R,-3.89165,39.723049,9999.0,83.0,WGS84,POINT (39.723049 -3.89165),53,17,15,0,17,17,13,53,30,24,50,4,140,53,140,0,94,coast,94,46
53,KE201500000054,KE,2015.0,54.0,R,-3.161332,39.960715,9999.0,19.0,WGS84,POINT (39.960715 -3.161332),54,26,13,0,26,25,16,54,25,21,42,5,127,54,129,0,83,coast,83,42
54,KE201500000055,KE,2015.0,55.0,R,-2.99156,40.046926,9999.0,101.0,WGS84,POINT (40.046926 -2.99156),55,26,9,0,26,26,23,55,27,24,46,4,131,55,133,0,82,coast,82,51
55,KE201500000056,KE,2015.0,56.0,U,-3.94159,39.759106,9999.0,21.0,WGS84,POINT (39.759106 -3.94159),56,10,3,10,0,10,7,56,24,19,37,2,68,56,70,70,38,coast,38,21
56,KE201500000057,KE,2015.0,57.0,U,-3.857072,39.472066,9999.0,193.0,WGS84,POINT (39.472066 -3.857072),57,13,5,13,0,13,11,57,27,24,38,3,82,57,82,82,58,coast,58,14
57,KE201500000058,KE,2015.0,58.0,U,-3.216848,40.120578,9999.0,5.0,WGS84,POINT (40.120578 -3.216848),58,8,1,8,0,8,4,58,27,18,45,3,94,58,94,94,26,coast,26,44
58,KE201500000059,KE,2015.0,59.0,U,-3.050384,40.121151,9999.0,12.0,WGS84,POINT (40.121151 -3.050384),59,21,5,21,0,21,18,59,27,24,44,3,98,59,105,105,82,coast,82,23
59,KE201500000060,KE,2015.0,60.0,R,-1.394981,39.974198,9999.0,75.0,WGS84,POINT (39.974198 -1.394981),60,16,7,0,16,16,6,60,23,16,32,5,118,60,119,0,60,coast,60,52
60,KE201500000061,KE,2015.0,61.0,R,-2.361046,40.177563,9999.0,9.0,WGS84,POINT (40.177563 -2.361046),61,27,10,0,27,27,7,61,27,11,12,4,132,61,135,0,22,coast,22,113
61,KE201500000062,KE,2015.0,62.0,U,-0.476707,39.603112,9999.0,155.0,WGS84,POINT (39.603112 -0.476707),62,14,5,14,0,12,6,62,21,12,17,3,77,62,77,77,23,coast,23,32
62,KE201500000063,KE,2015.0,63.0,U,-2.284541,40.11211,9999.0,20.0,WGS84,POINT (40.11211 -2.284541),63,10,4,10,0,9,3,63,24,21,35,3,84,63,85,85,37,coast,37,17
63,KE201500000064,KE,2015.0,64.0,R,-2.229977,40.854416,9999.0,5.0,WGS84,POINT (40.854416 -2.229977),64,6,4,0,6,6,6,64,26,26,64,2,74,64,85,0,76,coast,76,4
64,KE201500000065,KE,2015.0,65.0,R,-2.34521,40.611872,9999.0,18.0,WGS84,POINT (40.611872 -2.34521),65,19,9,0,19,19,16,65,24,21,50,5,121,65,121,0,91,coast,91,24
65,KE201500000066,KE,2015.0,66.0,R,-2.140766,40.998046,9999.0,12.0,WGS84,POINT (40.998046 -2.140766),66,25,8,0,25,23,12,66,29,22,45,4,128,66,134,0,69,coast,69,65
66,KE201500000067,KE,2015.0,67.0,U,-2.266431,40.901743,9999.0,17.0,WGS84,POINT (40.901743 -2.266431),67,8,4,8,0,8,3,67,25,19,40,3,82,67,84,84,28,coast,28,46
67,KE201500000068,KE,2015.0,68.0,U,-2.280861,40.902206,9999.0,6.0,WGS84,POINT (40.902206 -2.280861),68,19,7,19,0,19,16,68,23,21,49,5,115,68,120,120,85,coast,85,33
68,KE201500000069,KE,2015.0,69.0,R,-3.661116,38.867996,9999.0,438.0,WGS84,POINT (38.867996 -3.661116),69,18,9,0,18,17,9,69,27,16,30,3,107,69,108,0,45,coast,45,60
69,KE201500000070,KE,2015.0,70.0,R,-3.442376,38.363205,9999.0,1126.0,WGS84,POINT (38.363205 -3.442376),70,7,2,0,7,7,6,70,29,24,64,3,108,70,110,0,62,coast,62,48
70,KE201500000071,KE,2015.0,71.0,R,-3.325398,38.370068,9999.0,1419.0,WGS84,POINT (38.370068 -3.325398),71,18,5,0,18,18,9,71,28,18,47,4,124,71,125,0,38,coast,38,87
71,KE201500000072,KE,2015.0,72.0,R,-3.199657,37.715855,9999.0,996.0,WGS84,POINT (37.715855 -3.199657),72,20,4,0,20,18,16,72,27,23,41,3,90,72,92,0,68,coast,68,24
